site,date_observed,genus,species,id,observer,date_entered,data_entry,data_entered_NPN,leaf_breaking_bud_observed,leaf_breaking_bud_intensity,leaf_observed,leaf_intensity,leaf_increasing_size_observed,leaf_increasing_size_intensity,leaf_color_observed,leaf_color_intensity,leaf_falling_observed,leaf_falling_intensity,flower_buds_observed,flower_buds_intensity,flower_open_observed,flower_open_intensity,flower_pollen_release_observed,flower_pollen_release_intensity,fruit_observed,fruit_intensity,fruit_ripe_observed,fruit_ripe_intensity,fruit_drop_observed,fruit_drop_intensity,nativity,doy
King's Grove,3/21/2017,Rhamnus,cathartica,IB1,Lucy Liu,3/29/2017,Parth Dhyani,n,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Rhamnus,cathartica,IB2,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Rhamnus,cathartica,IB3,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,10-Mar,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Rhamnus,cathartica,IB4,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Rhamnus,cathartica,IB5,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Rhamnus,cathartica,IB6,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Rhamnus,cathartica,IB7,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Rhamnus,cathartica,IB8,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Rhamnus,cathartica,IB9,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,11-100,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
King's Grove,3/21/2017,Rhamnus,cathartica,IB10,Lucy Liu,3/29/2017,Parth Dhyani,n,Y,101-1000,N,0,N,0,N,0,N,0,N,0,N,0,N,none,N,0,N,0,N,0,invasive,80
