"Longitude","Latitude","Genus","Species","x"
-116.557617,32.929771,"Quercus","agrifolia",141.866666666667
-117.555656,33.627308,"Quercus","agrifolia",152.588709677419
-117.555573,33.628738,"Quercus","agrifolia",161.829596412556
-117.553055,33.640274,"Quercus","agrifolia",173.509090909091
-117.775146,33.821255,"Quercus","agrifolia",256
-118.342735,33.828571,"Quercus","agrifolia",162.074074074074
-118.341484,33.828686,"Quercus","agrifolia",275
-117.320084,33.971535,"Quercus","agrifolia",253
-118.811821,34.0312,"Quercus","agrifolia",153.16935483871
-118.814781,34.037823,"Quercus","agrifolia",243
-118.716232,34.096893,"Quercus","agrifolia",302
-118.713799,34.097961,"Quercus","agrifolia",100
-118.706429,34.102745,"Quercus","agrifolia",322
-118.757507,34.11578,"Quercus","agrifolia",134.248995983936
-118.758972,34.115868,"Quercus","agrifolia",176.473684210526
-118.759033,34.118164,"Quercus","agrifolia",138.857142857143
-118.209747,34.126862,"Quercus","agrifolia",93.4494382022472
-118.210663,34.129532,"Quercus","agrifolia",107
-118.631638,34.135941,"Quercus","agrifolia",297.928571428571
-118.960732,34.145714,"Quercus","agrifolia",154.204081632653
-118.62973,34.147045,"Quercus","agrifolia",299
-118.960472,34.149364,"Quercus","agrifolia",136.823129251701
-118.73069,34.156467,"Quercus","agrifolia",147.424778761062
-118.726082,34.159077,"Quercus","agrifolia",156.908450704225
-118.724113,34.173267,"Quercus","agrifolia",145.780141843972
-118.724167,34.173702,"Quercus","agrifolia",141.084337349398
-118.886124,34.185997,"Quercus","agrifolia",104
-119.878304,34.407539,"Quercus","agrifolia",93
-119.723991,34.415752,"Quercus","agrifolia",134
-119.255875,34.445488,"Quercus","agrifolia",108
-119.709938,34.457253,"Quercus","agrifolia",95
-119.809242,34.498074,"Quercus","agrifolia",83.8709677419355
-120.040688,34.675453,"Quercus","agrifolia",141.83734939759
-120.658836,35.302826,"Quercus","agrifolia",59
-120.728859,35.330288,"Quercus","agrifolia",160.452830188679
-121.0784,35.539219,"Quercus","agrifolia",96.3333333333333
-121.079132,35.539249,"Quercus","agrifolia",118.941176470588
-119.088158,36.203007,"Quercus","agrifolia",1
-119.073227,36.209923,"Quercus","agrifolia",2
-119.142052,36.296062,"Quercus","agrifolia",118
-121.550117,36.387501,"Quercus","agrifolia",89.4347826086957
-121.7938,36.654385,"Quercus","agrifolia",109.7
-121.525749,37.067856,"Quercus","agrifolia",28
-121.882973,37.213058,"Quercus","agrifolia",104.444444444444
-121.884605,37.213455,"Quercus","agrifolia",84
-122.359848,37.263165,"Quercus","agrifolia",136.5625
-121.809967,37.285587,"Quercus","agrifolia",119.285714285714
-121.882172,37.333042,"Quercus","agrifolia",121
-122.128151,37.360123,"Quercus","agrifolia",125.25
-122.130836,37.360928,"Quercus","agrifolia",277.105263157895
-122.127022,37.360935,"Quercus","agrifolia",138.538461538462
-122.258591,37.408615,"Quercus","agrifolia",10
-122.13887,37.410206,"Quercus","agrifolia",100.974358974359
-121.960197,37.439407,"Quercus","agrifolia",124.066666666667
-122.073212,37.531857,"Quercus","agrifolia",139.670886075949
-122.327965,37.545815,"Quercus","agrifolia",84.8
-122.295486,37.550266,"Quercus","agrifolia",286
-122.39859,37.761826,"Quercus","agrifolia",259.5
-122.482239,37.788151,"Quercus","agrifolia",189
-122.482285,37.78825,"Quercus","agrifolia",173.62962962963
-122.482101,37.788403,"Quercus","agrifolia",189.25
-122.470154,37.788433,"Quercus","agrifolia",179.735849056604
-122.482086,37.788437,"Quercus","agrifolia",210.4
-122.142197,37.79121,"Quercus","agrifolia",138.280575539568
-122.470894,37.801132,"Quercus","agrifolia",259.333333333333
-122.175865,37.813675,"Quercus","agrifolia",129.541666666667
-122.175591,37.813755,"Quercus","agrifolia",142.142857142857
-122.17572,37.814865,"Quercus","agrifolia",150.4375
-122.176064,37.815536,"Quercus","agrifolia",127.75
