nativity,doy,phenophase,Species
invasive,88,Leaf_Observed,L. maackii
invasive,88,Leaf_Observed,L. maackii
invasive,88,Leaf_Observed,L. maackii
invasive,88,Leaf_Observed,L. maackii
invasive,88,Leaf_Observed,L. maackii
invasive,88,Leaf_Observed,L. maackii
invasive,88,Leaf_Observed,L. maackii
invasive,88,Leaf_Observed,L. maackii
invasive,88,Leaf_Observed,L. maackii
invasive,88,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,R. cathartica
invasive,96,Leaf_Observed,R. cathartica
invasive,96,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,L. maackii
invasive,96,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,R. cathartica
invasive,102,Leaf_Observed,R. cathartica
invasive,102,Leaf_Observed,R. cathartica
invasive,102,Leaf_Observed,R. cathartica
invasive,102,Leaf_Observed,R. cathartica
invasive,102,Leaf_Observed,R. cathartica
invasive,102,Leaf_Observed,R. cathartica
invasive,102,Leaf_Observed,R. cathartica
invasive,102,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,L. maackii
invasive,102,Leaf_Observed,L. maackii
invasive,109,Leaf_Observed,R. cathartica
invasive,109,Leaf_Observed,R. cathartica
invasive,109,Leaf_Observed,R. cathartica
invasive,109,Leaf_Observed,R. cathartica
invasive,109,Leaf_Observed,L. maackii
native,109,Leaf_Observed,R. allegheniensis
native,109,Leaf_Observed,R. allegheniensis
native,109,Leaf_Observed,R. allegheniensis
native,109,Leaf_Observed,R. allegheniensis
native,109,Leaf_Observed,R. allegheniensis
native,109,Leaf_Observed,R. allegheniensis
native,109,Leaf_Observed,R. allegheniensis
native,109,Leaf_Observed,R. allegheniensis
native,109,Leaf_Observed,R. allegheniensis
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,R. cathartica
invasive,115,Leaf_Observed,L. maackii
invasive,115,Leaf_Observed,L. maackii
invasive,115,Leaf_Observed,L. maackii
invasive,115,Leaf_Observed,L. maackii
invasive,115,Leaf_Observed,L. maackii
invasive,115,Leaf_Observed,L. maackii
invasive,115,Leaf_Observed,L. maackii
invasive,115,Leaf_Observed,L. maackii
invasive,115,Leaf_Observed,L. maackii
invasive,115,Leaf_Observed,L. maackii
native,115,Leaf_Observed,R. allegheniensis
native,115,Leaf_Observed,R. allegheniensis
native,115,Leaf_Observed,R. allegheniensis
native,115,Leaf_Observed,R. allegheniensis
native,115,Leaf_Observed,R. allegheniensis
native,115,Leaf_Observed,R. allegheniensis
native,115,Leaf_Observed,R. allegheniensis
native,115,Leaf_Observed,R. allegheniensis
native,115,Leaf_Observed,R. allegheniensis
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,R. cathartica
invasive,123,Leaf_Observed,L. maackii
invasive,123,Leaf_Observed,L. maackii
invasive,123,Leaf_Observed,L. maackii
invasive,123,Leaf_Observed,L. maackii
invasive,123,Leaf_Observed,L. maackii
invasive,123,Leaf_Observed,L. maackii
invasive,123,Leaf_Observed,L. maackii
invasive,123,Leaf_Observed,L. maackii
invasive,123,Leaf_Observed,L. maackii
invasive,123,Leaf_Observed,L. maackii
native,123,Leaf_Observed,R. allegheniensis
native,123,Leaf_Observed,R. allegheniensis
native,123,Leaf_Observed,R. allegheniensis
native,123,Leaf_Observed,R. allegheniensis
native,123,Leaf_Observed,R. allegheniensis
native,123,Leaf_Observed,R. allegheniensis
native,123,Leaf_Observed,R. allegheniensis
native,123,Leaf_Observed,R. allegheniensis
native,123,Leaf_Observed,R. allegheniensis
